node_id,lat,lon,name,amenity
3813671938,28.6322316,77.2223143,State Bank of India,bank
3862442973,28.6301576,77.2197258,Domino's Pizza,fast_food
3991742063,28.6314049,77.2204463,Connection Beer company,restaurant
3991743215,28.6336189,77.2211054,The Embassy,fast_food
3991743217,28.6296448,77.2243993,western union,bureau_de_change
4030184789,28.6359878,77.2250742,Kali Mandir,place_of_worship
4069815728,28.6342635,77.2190699,The Colonnade,restaurant
4069858894,28.635221,77.2201059,Gola,restaurant
4071875072,28.6327263,77.2179024,,post_office
4076659278,28.6467075,77.2129328,R. S. Medicos,pharmacy
4076669376,28.6467705,77.2129317,Jai Maha Kali,fast_food
4076670789,28.6467122,77.212921,Dr. Krishan Gola,clinic
4076672535,28.6467013,77.2132438,Bhagwati Medicos,pharmacy
4077570689,28.6466897,77.2128151,,pharmacy
4115264025,28.6447305,77.2147726,McDonald's,fast_food
4122535796,28.6316863,77.2166292,,atm
4122549692,28.6311221,77.2164451,,atm
4122549693,28.6294722,77.2129442,,bank
4122549695,28.6334535,77.207037,,bank
4122549792,28.6321307,77.2163119,,bank
4122564390,28.6322738,77.2162739,McDonald's,fast_food
4122564391,28.6294413,77.212874,,atm
4122564392,28.6281407,77.2091588,,post_box
4122590190,28.6289471,77.2101806,Bharat Petroleum,fuel
4122592290,28.6333793,77.2076665,,bank
4122592291,28.6334275,77.2080471,Odeon sweets,restaurant
4211994391,28.6410445,77.2105515,Malhotra,restaurant
4219631340,28.6410765,77.2126795,Sam's Cafe,restaurant
4241254891,28.6302749,77.2204652,Starbucks,cafe
4241264489,28.6302116,77.220132,McDonald's,fast_food
4262365091,28.6409134,77.2104527,Festa Cafe ,cafe
4262378089,28.6384132,77.2104056,My Love ,bar
4302372175,28.6319007,77.2204138,,post_box
4336565091,28.6409875,77.2128901,kitchen cafe roof top,cafe
4336790092,28.6269741,77.2202933,Café office office,cafe
4338105559,28.6335971,77.2212499,Zaffran,restaurant
4338129371,28.6303156,77.2206535,Barbeque Nation,restaurant
4341101093,28.6411171,77.2144269,Nepali Food,restaurant
4341161389,28.6316411,77.2215631,Punjab National Bank,bank
4350455497,28.6410343,77.2126817,Sam's bar,bar
4350522692,28.6408661,77.2103053,Malhotra,restaurant
4351002694,28.6444721,77.2147985,,atm
4373353502,28.6453308,77.211746,,atm
4385547591,28.6135345,77.2184328,,atm
4389398989,28.6303463,77.217545,Pind Balluchi,restaurant
4391431789,28.6405645,77.2116448,Chabad House,place_of_worship
4391597491,28.6313321,77.2197505,,restaurant
4391613189,28.6297728,77.2203117,,restaurant
4398513870,28.6290732,77.2193076,,post_box
4399059591,28.6402692,77.2088677,,cafe
4401493065,28.6420621,77.2179887,Neelam Restaurant,restaurant
4408761894,28.6437527,77.210777,,bureau_de_change
4411278975,28.6165099,77.2326851,,fast_food
4414245490,28.6451684,77.1945193,,bank
4423020789,28.6335843,77.2166414,,waste_basket
4430180391,28.6349539,77.2173289,,community_centre
4435749475,28.6223326,77.2361501,Canara Bank,bank
4447641390,28.6339927,77.220884,The Beer Cafe - Biggie,bar
4460479219,28.6328293,77.2172007,Fa Yian The Chinese Restaurant,restaurant
4491995691,28.6275778,77.2329699,DCP Residence,police
4502144089,28.6297305,77.2201372,KFC,fast_food
4502154194,28.6293906,77.2214923,,fuel
4507814689,28.6437322,77.2095729,,atm
4519099789,28.6357899,77.2151512,PK Road Basant Lane,community_centre
4541197689,28.62632,77.2146,State bank of india,bank
4543453289,28.6306708,77.2169833,,cinema
4565027989,28.6412137,77.2147624,Wow Cafe,restaurant
4599210189,28.6441975,77.2418175,,atm
4599840390,28.6415909,77.2155347,,restaurant
4620804297,28.6271011,77.2280367,Embassy of the Islamic Republic of Iran,embassy
4628522089,28.6204506,77.2181178,,restaurant
4654555590,28.6452167,77.2110064,U-Like,restaurant
4656714717,28.6424044,77.2103819,NATRAJ restaurant,restaurant
4679882984,28.6298225,77.2206084,Sperbank,bank
4679883320,28.6307208,77.2210523,Beer Cafe,bar
4685571294,28.6414639,77.218736,,toilets
4710223395,28.6482081,77.2336645,Alslam Chicken,restaurant
4711571792,28.6335111,77.2212566,Embassy Restaurant ( Samosa),restaurant
4713325589,28.6246459,77.2053756,,atm
4715157790,28.6423302,77.2182562,Malabar Hotel,restaurant
4715157791,28.642273,77.218265,Hotel Madras Dx,restaurant
